Layer 1 ,Layer 2 ,Shape_Area,Shape_Area,two_week_comb,time_since_first,jaccard_1,Layer 1 ,Layer 2 ,Shape_Area,Shape_Area,one_week_comb,time_since_first,jaccard_2,Layer 1 ,Layer 2 ,three_week_comb,Shape_Area,Shape_Area,time_since_first,jaccard_3,Layer 1 ,Layer 2 ,ten_day_comb,Shape_Area,Shape_Area,time_since_first,jaccard_4,18_day_combinations,Layer1,Layer2,Shape_Area,Shape_Area,jaccard,time_since
,,,,,,,July20_July26,July27_Aug2,0.001495,0.007238,one_week_8_9,1,0.2065487704,,,,,,,,,,,,,,,,,,,,,
,,,,,,,July20_July26,Aug3_Aug9,0,0.004395,one_week_8_10,2,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,July20_July26,Aug10_Aug16,0,0.018205,one_week_8_11,3,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,July20_July26,Aug17_Aug23,0,0.005274,one_week_8_12,4,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,July20_July26,Aug24_Aug31,0.000044,0.005959,one_week_8_13,5,0.007383789226,,,,,,,,,,,,,,,,,,,,,
,,,,,,,July27_Aug2,Aug3_Aug9,0.000322,0.009748,one_week_9_10,1,0.03303241691,,,,,,,,,,,,,,,,,,,,,
,,,,,,,July27_Aug2,Aug10_Aug16,0,0.02388,one_week_9_11,2,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,July27_Aug2,Aug17_Aug23,0.000049,0.0109,one_week_9_12,3,0.004495412844,,,,,,,,,,,,,,,,,,,,,
,,,,,,,July27_Aug2,Aug24_Aug31,0.002171,0.009506,one_week_9_13,4,0.2283820745,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Aug3_Aug9,Aug10_Aug16,0.000201,0.019342,one_week_10_11,1,0.01039189329,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Aug3_Aug9,Aug17_Aug23,0,0.006611,one_week_10_12,2,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Aug3_Aug9,Aug24_Aug31,0,0.007339,one_week_10_13,3,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Aug10_Aug16,Aug17_Aug23,0.000726,0.019695,one_week_11_12,1,0.03686214775,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Aug10_Aug16,Aug24_Aug31,0,0.021149,one_week_11_13,2,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Aug17_Aug23,Aug24_Aug31,0.000324,0.008186,one_week_12_13,1,0.03957977034,,,,,,,,,,,,,,,,,,,,,
